datetime,vol,op,comp1p,comp2p,comp3p,hour,day_of_week,month
2023-05-16 16:00:00,170.89,1.801089,1.791666667,1.8315,1.7665,16,1,5
2023-05-16 17:00:00,329.83,1.742701,1.725166667,1.7665,1.744,17,1,5
2023-05-16 18:00:00,122.35,1.716908,1.709666667,1.732,1.714333333,18,1,5
2023-05-16 19:00:00,74.41,1.738907,1.7235,1.74,1.734,19,1,5
2023-05-16 20:00:00,44.15,1.72907,1.709333333,1.731,1.726,20,1,5
2023-05-16 21:00:00,269.67,1.691133,1.694333333,1.708,1.709,21,1,5
2023-05-17 06:00:00,47.37,1.689086,1.725666667,1.763067797,1.709,6,2,5
2023-05-17 07:00:00,27.35,1.828673,1.819,1.8385,1.709,7,2,5
2023-05-17 08:00:00,38.54,1.80404,1.766,1.824,1.788666667,8,2,5
2023-05-17 09:00:00,57.91,1.809336,1.788166667,1.836,1.824,9,2,5
2023-05-17 10:00:00,56.94,1.8088,1.795833333,1.83,1.811333333,10,2,5
2023-05-17 11:00:00,101.09,1.773913,1.759166667,1.77,1.778166667,11,2,5
2023-05-17 12:00:00,95.3,1.792299,1.766666667,1.835,1.825666667,12,2,5
2023-05-17 13:00:00,50.55,1.809276,1.789,1.833,1.817,13,2,5
2023-05-17 14:00:00,94.32,1.768757,1.771666667,1.7995,1.796666667,14,2,5
2023-05-17 15:00:00,58.67,1.818915,1.807,1.819,1.835,15,2,5
2023-05-17 16:00:00,62.34,1.793181,1.774333333,1.813,1.797666667,16,2,5
2023-05-17 17:00:00,63.75,1.784227,1.780666667,1.8025,1.804,17,2,5
2023-05-17 18:00:00,233.85,1.760401,1.757833333,1.749,1.750833333,18,2,5
2023-05-17 19:00:00,94.96,1.748864,1.7435,1.767,1.744,19,2,5
2023-05-17 20:00:00,60.57,1.735536,1.731333333,1.7465,1.738,20,2,5
2023-05-17 21:00:00,154.04,1.710784,1.705833333,1.722,1.729,21,2,5
2023-05-18 06:00:00,26.54,1.768995,1.739,1.773915254,1.729,6,3,5
2023-05-18 07:00:00,34.78,1.828792,1.819,1.839,1.729,7,3,5
2023-05-18 08:00:00,71.37,1.823794,1.786,1.829,1.808666667,8,3,5
2023-05-18 09:00:00,58.4,1.835615,1.788166667,1.847,1.844,9,3,5
2023-05-18 10:00:00,16.68,1.799161,1.799,1.829,1.8225,10,3,5
2023-05-18 11:00:00,27.79,1.79928,1.759,1.780833333,1.776,11,3,5
2023-05-18 12:00:00,86.13,1.812489,1.785333333,1.836333333,1.825666667,12,3,5
2023-05-18 13:00:00,48.23,1.808979,1.794833333,1.8265,1.8225,13,3,5
2023-05-18 14:00:00,51.47,1.77911,1.759,1.801,1.788666667,14,3,5
2023-05-18 15:00:00,39.0,1.809038,1.797833333,1.829,1.825,15,3,5
2023-05-18 16:00:00,38.89,1.799399,1.777666667,1.809,1.794333333,16,3,5
2023-05-18 17:00:00,64.3,1.793687,1.759,1.789,1.769,17,3,5
2023-05-18 18:00:00,80.88,1.772426,1.759,1.789,1.769,18,3,5
2023-05-18 19:00:00,52.57,1.788868,1.775333333,1.799,1.785666667,19,3,5
2023-05-18 20:00:00,65.4,1.771523,1.7715,1.793,1.778166667,20,3,5
2023-05-18 21:00:00,66.86,1.748824,1.7325,1.7565,1.769,21,3,5
2023-05-19 06:00:00,7.16,1.748348,1.759,1.785610169,1.769,6,4,5
2023-05-19 07:00:00,8.2,1.829982,1.819,1.8385,1.769,7,4,5
2023-05-19 08:00:00,49.23,1.828852,1.810166667,1.828,1.814333333,8,4,5
2023-05-19 09:00:00,59.32,1.848943,1.8295,1.84,1.864,9,4,5
2023-05-19 10:00:00,16.23,1.849141,1.820333333,1.83,1.840666667,10,4,5
2023-05-19 12:00:00,143.55,1.843327,1.816666667,1.87,1.875666667,12,4,5
2023-05-19 13:00:00,51.69,1.855646,1.839,1.8655,1.867666667,13,4,5
2023-05-19 14:00:00,146.56,1.828852,1.821666667,1.852,1.853,14,4,5
2023-05-19 15:00:00,21.42,1.868776,1.855,1.875,1.881,15,4,5
2023-05-19 16:00:00,19.12,1.828554,1.8145,1.83,1.806166667,16,4,5
2023-05-19 17:00:00,94.01,1.801244,1.790666667,1.8375,1.814,17,4,5
2023-05-19 18:00:00,237.31,1.79605,1.790166667,1.806,1.801333333,18,4,5
2023-05-19 19:00:00,24.56,1.818856,1.8135,1.8285,1.824,19,4,5
2023-05-19 20:00:00,25.02,1.813977,1.7815,1.81,1.794833333,20,4,5
2023-05-19 21:00:00,42.0,1.75882,1.757833333,1.769,1.779,21,4,5
2023-05-20 07:00:00,10.82,1.849855,1.749,1.773067797,1.779,7,5,5
2023-05-20 08:00:00,27.49,1.818915,1.802,1.843,1.8155,8,5,5
2023-05-20 09:00:00,95.29,1.855567,1.8295,1.861,1.864,9,5,5
2023-05-20 10:00:00,120.74,1.83382,1.833666667,1.851,1.851333333,10,5,5
2023-05-20 11:00:00,159.56,1.820819,1.798,1.818333333,1.814833333,11,5,5
2023-05-20 12:00:00,50.15,1.858344,1.7985,1.8605,1.865666667,12,5,5
2023-05-20 13:00:00,114.03,1.838947,1.8,1.852,1.851,13,5,5
2023-05-20 14:00:00,197.64,1.780206,1.759,1.820333333,1.773666667,14,5,5
2023-05-20 15:00:00,72.98,1.808657,1.759,1.809,1.769,15,5,5
2023-05-20 16:00:00,87.52,1.748913,1.759,1.809,1.769,16,5,5
2023-05-20 17:00:00,132.92,1.778991,1.770666667,1.804666667,1.794,17,5,5
2023-05-20 18:00:00,86.36,1.766039,1.762833333,1.7635,1.770833333,18,5,5
2023-05-20 19:00:00,39.12,1.793955,1.749,1.797,1.759,19,5,5
2023-05-20 20:00:00,44.59,1.778991,1.727,1.783,1.750333333,20,5,5
2023-05-20 21:00:00,170.88,1.738888,1.706666667,1.749,1.719,21,5,5
2023-05-21 06:00:00,16.57,1.7731,1.7063709983333333,1.739,1.7295649716666668,6,6,5
2023-05-21 07:00:00,29.2,1.848903,1.7060753296666666,1.729,1.7401299433333333,7,6,5
2023-05-21 08:00:00,21.9,1.849022,1.705779661,1.719,1.750694915,8,6,5
2023-05-21 09:00:00,26.14,1.759118,1.728166667,1.7685,1.764,9,6,5
2023-05-21 10:00:00,167.3,1.735694,1.740166667,1.763,1.751333333,10,6,5
2023-05-21 11:00:00,162.87,1.722953,1.717,1.73,1.727,11,6,5
2023-05-21 12:00:00,97.27,1.769024,1.734,1.786,1.775666667,12,6,5
2023-05-21 13:00:00,29.05,1.758939,1.7535,1.777,1.7725,13,6,5
2023-05-21 14:00:00,122.96,1.728862,1.727333333,1.755,1.756333333,14,6,5
2023-05-21 15:00:00,146.27,1.779149,1.749833333,1.779,1.7925,15,6,5
2023-05-21 16:00:00,140.06,1.758344,1.7515,1.7705,1.764666667,16,6,5
2023-05-21 17:00:00,73.5,1.769054,1.750666667,1.7775,1.774,17,6,5
2023-05-21 18:00:00,156.56,1.755667,1.748,1.762,1.759166667,18,6,5
2023-05-21 19:00:00,8.48,1.76953,1.7635,1.787,1.774,19,6,5
2023-05-21 20:00:00,140.8,1.768667,1.7525,1.7725,1.765833333,20,6,5
2023-05-21 21:00:00,170.1,1.729022,1.724666667,1.7355,1.749,21,6,5
2023-05-22 07:00:00,10.83,1.84807,1.819,1.8585,1.749,7,0,5
2023-05-22 08:00:00,54.65,1.818677,1.799333333,1.8385,1.812,8,0,5
2023-05-22 09:00:00,13.44,1.849141,1.788166667,1.858,1.864,9,0,5
2023-05-22 10:00:00,4.66,1.828316,1.806833333,1.847,1.828666667,10,0,5
2023-05-22 12:00:00,5.38,1.857947,1.8145,1.8665,1.865666667,12,0,5
2023-05-22 14:00:00,5.47,1.827364,1.8215,1.844,1.849666667,14,0,5
2023-05-22 15:00:00,36.06,1.868538,1.845,1.869,1.885,15,0,5
2023-05-22 16:00:00,64.03,1.798923,1.817666667,1.83,1.836,16,0,5
2023-05-22 17:00:00,92.52,1.822445,1.802166667,1.8295,1.834,17,0,5
